անուն,կատեգորիա,պաշտոն,նշանակման_ամսաթիվ,տարիք,կրթություն,ոլորտային_փորձ_մինչ_նշանակումը,հետագա_ընթացք,աղբյուր
Արգիշտի Քյարամյան,հիմնական,ԱԱԾ տնօրեն,2020-06-08,29,Իրավագիտություն (ԵՊՀ 2013),Չկա (օպերատիվ/հետախուզական),4 ամիս պաշտոնում; 2021-2024 ՔԿ նախագահ,https://www.1lurer.am/hy/2020/06/08/;https://iravaban.net/270954.html
Սուրեն Պապիկյան,հիմնական,Պաշտպանության նախարար,2021-11-15,35,Պատմություն (ԵՊՀ),Չկա (2010-2016 դպրոցի ուսուցիչ),Պաշտոնավարման օրոք 2022-09 պատերազմ,https://www.gov.am/am/gov-members/789/;https://mediamax.am/am/news/society/28540/
Արմեն Գրիգորյան,հիմնական,ԱԽ քարտուղար,2018-05,34,Քաղաքագիտություն (ԵՊՀ/ՀԱՀ),Չկա (2015-2018 ՀԿ ընտրական ծրագրեր),Պաշտոնում մինչ օրս,https://www.seco.am/security_council/secretary?lang=hy
Արարատ Միրզոյան,հիմնական,ԱԳ նախարար,2021-08-19,41,Պատմություն (ԵՊՀ),Չկա (դիվանագիտական ծառայություն),2018 փոխվարչապետ; 2019-2021 ԱԺ նախագահ,https://www.mfa.am/hy/minister/;https://armtimes.com/hy/article/137398
Տիգրան Ավինյան,հիմնական,Փոխվարչապետ,2018-05-11,29,Կիրառական մաթեմ.+ֆինանսներ,Չկա (պետական կառավարում),2023-ից Երևանի քաղաքապետ,https://iravaban.net/190726.html;https://www.armtimes.com/hy/article/137463
Դավիթ Սանասարյան,հիմնական,ՊՎԾ ղեկավար,2018-05,33,Իրավաբանական+Ֆլետչեր,Չկա (վերահսկողություն/աուդիտ),2019-04 քրգործ; 5.5 տարի անց արդարացում,https://hetq.am/hy/article/174622;https://www.azatutyun.am/a/33428523.html
Լիլիթ Մակունց,հիմնական,Դեսպան ԱՄՆ-ում,2021-08,37,Բանասիրություն (ԵՊՀ),Չկա (դիվանագիտություն),2018-2019 մշակույթի նախարար; ՔՊ խմբ. ղեկավար,https://en.armradio.am/2021/08/02/;https://en.wikipedia.org/wiki/Lilit_Makunts
Ռոմանոս Պետրոսյան,հիմնական,Կոտայքի մարզպետ→ՇՄ նախարար→ՊՎԾ պետ→ՀԷՑ կառավարիչ,2018-06-01;2020-07-30;2021-12-09;2025-07-18,38-46,Երկրաբանություն (ԵՊՀ 2003),Չփաստագրված որևէ պաշտոնի համար,ՀԷՑ-ի ժամ. կառավարիչ ՊՎԾ-ից ազատվելու հաջորդ օրը,https://hy.wikipedia.org/wiki/Ռոմանոս_Պետրոսյան;https://tert.am/am/news/2025/07/17/romanos-petrosyan/4237376
Ալեն Սիմոնյան,հիմնական,ԱԺ նախագահ (պետության թիվ 3 դեմք),2021-08-02,41,Իրավագիտություն (ԵՊՀ 2000),Մինչ 2018-ը պետական ծառայության փորձ չկա; 2018-ից ԱԺ պատգամավոր/փոխնախագահ,Պաշտոնում; Հավելված Ե-ի [Ա] կատեգորիայի դրվագներ,https://hy.wikipedia.org/wiki/Ալեն_Սիմոնյան;https://iravaban.net/191366.html
Գնել Սանոսյան,հիմնական,Գեղարքունիքի մարզպետ→ՏԿԵ նախարար,2018-10-10;2021-08-02,35;37,Աշխարհագրություն,Չկա (ենթակառուցվածքներ/տարածքային կառավարում); դասախոս,Նախարար 2021-2024,https://hy.wikipedia.org/wiki/Գնել_Սանոսյան;https://www.azatutyun.am/a/33206176.html
Վահան Քերոբյան,հակաօրինակ,Էկոնոմիկայի նախարար,2020-11-26,,Կառավարում/բիզնես,Կա. 2012-2020 Menu Group հիմնադիր-տնօրեն,Հեռացավ 2024-ին; հետագայում քրգործ,https://www.gov.am/am/gov-members/1020/;https://banks.am/am/news/newsfeed/20392
Արսեն Թորոսյան,հակաօրինակ,Առողջապահության նախարար,2018-05-12,35,Բժշկական (ՄՀ ԲՀ 2004; ԱԱԻ),Կա. բժիշկ; առողջապահության կազմակերպիչ,Նախարար մինչև 2021-01; ապա ԱԺ/այլ պաշտոններ,https://www.gov.am/am/gov-members/795/;https://www.armtimes.com/hy/article/137617
